1,City of Sacramento - Capitol Parking Garage,1015 L St,Sacramento,CA,95814,US,Non-Networked,NEMA520,
2,Los Angeles Convention Center,1201 S Figueroa St,Los Angeles,CA,90015,US,Non-Networked,J1772,
3,LADWP - John Ferraro Building,111 N Hope St,Los Angeles,CA,90012,US,Non-Networked,CHADEMO J1772 J1772COMBO,
4,Cherokee & Hollywood Parking Garage,1718 N Cherokee Ave,Los Angeles,CA,90028,US,Non-Networked,J1772,
5,CITYOFSANTAROSA,100 Santa Rosa Ave,Santa Rosa,CA,95404,US,ChargePoint Network,J1772,
6,California Air Resources Board,9530 Telstar Ave,El Monte,CA,91731,US,Non-Networked,J1772,
7,Scripps Green Hospital,10666 N Torrey Pines Rd,La Jolla,CA,92037,US,Non-Networked,J1772,
8,Santa Monica Place Mall Garage #7 - Civic Center - First Floor,395 Broadway,Santa Monica,CA,90401,US,Non-Networked,,
9,San Diego Wild Animal Park,15500 San Pasqual Valley Rd,Escondido,CA,92027,US,Non-Networked,J1772,
10,Galpin Motors,15421 Roscoe Blvd,Sepulveda,CA,91343,US,Non-Networked,J1772,
11,Galleria at Tyler,1299 Galleria at Tyler,Riverside,CA,92503,US,Non-Networked,J1772,
12,City of Pasadena - Holly Street Garage,150 E Holly St,Pasadena,CA,91103,US,Non-Networked,J1772,
13,City of Pasadena - De Lacey Garage,45 De Lacey Ave,Pasadena,CA,91105,US,Non-Networked,J1772,
14,City of Pasadena - Schoolhouse Garage,33 E Green St,Pasadena,CA,91105,US,Non-Networked,J1772,
15,Pasadena Hilton,150 S Los Robles,Pasadena,CA,91101,US,Non-Networked,J1772,
16,Bristol Farms,606 Fair Oaks Ave,South Pasadena,CA,91030,US,Non-Networked,,
17,Hyatt Regency Long Beach,200 S Pine Ave,Long Beach,CA,90802,US,Non-Networked,J1772,
18,Hilton - Los Angeles International Airport,5711 W Century Blvd,Los Angeles,CA,90045,US,Non-Networked,J1772,
19,Los Angeles International Airport (LAX) - Lot 6,1 World Way,Los Angeles,CA,90045,US,Non-Networked,J1772,
20,Northridge Fashion Center,9301 Tampa Ave,Northridge,CA,91324,US,Non-Networked,J1772,SOLAR
21,Ontario Airport Hilton,700 N Haven Ave,Ontario,CA,91764,US,Non-Networked,J1772,
22,Courtyard Marriott - Oxnard Ventura,600 E Esplanade Dr,Oxnard,CA,93030,US,Non-Networked,J1772,
23,Hilton - Palm Springs,400 E Tahquitz Canyon Way,Palm Springs,CA,92262,US,Non-Networked,J1772,
24,East Bay Mini,4340 Rosewood Dr,Pleasanton,CA,94588,US,Non-Networked,J1772,
25,CNTYOFRIVERSIDE,3535 12th Street,Riverside,CA,92501,US,ChargePoint Network,J1772,
26,Inland Empire Foods,5425 Wilson St,Riverside,CA,92509,US,Non-Networked,J1772,
27,Sacramento International Airport - Daily A Lot,Lindbergh Dr,Sacramento,CA,95837,US,Non-Networked,J1772,
28,City of Santa Monica - Airport,3223 Donald Douglas Loop,Santa Monica,CA,90405,US,Non-Networked,J1772,SOLAR
29,City of Santa Monica - Pier,200 Santa Monica Pier,Santa Monica,CA,90405,US,Non-Networked,J1772,
30,Westfield Fashion Square,14006 Riverside Dr,Sherman Oaks,CA,91423,US,Non-Networked,J1772,
31,City of Temecula - 6th Street Lot,28462 Front St,Temecula,CA,92590,US,Non-Networked,J1772,
32,Universal City Hilton,333 Universal Terrace Pkwy,Universal City,CA,91608,US,Non-Networked,NEMA520,
33,Van Nuys Amtrak/Metrolink Station,7724 Van Nuys Blvd,Van Nuys,CA,91405,US,EV Connect,J1772,
34,Office Max - Home Depot,7075 Firestone Blvd,Downey,CA,90241,US,Non-Networked,J1772,
35,City of Lancaster - City Hall,44933 Fern Ave,Lancaster,CA,93534,US,Non-Networked,J1772 TESLA,SOLAR
36,Hyatt at Fisherman's Wharf,555 N Point St,San Francisco,CA,94133,US,Non-Networked,J1772,
37,Japan Center Garage,1610 Geary Blvd,San Francisco,CA,94115,US,Non-Networked,,
38,Saint Mary's Square Garage,433 Kearny St,San Francisco,CA,94104,US,Non-Networked,,
39,Palace Hotel,2 New Montgomery St,San Francisco,CA,94105,US,Non-Networked,J1772,
40,Mark Hopkins InterContinental Hotel,999 California St,San Francisco,CA,94108,US,Non-Networked,J1772,
41,Ellis O'Farrell Garage,123 O'Farrell St,San Francisco,CA,94102,US,Non-Networked,J1772,
42,Hotel Sofitel,8555 Beverly Blvd,Los Angeles,CA,90048,US,Non-Networked,J1772,
43,Music Center Parking - Level 2,135 N Grand Ave,Los Angeles,CA,90012,US,Non-Networked,J1772,
44,Balboa Golf Course,16821 Burbank Blvd,Encino,CA,91436,US,Non-Networked,J1772,
45,California State University - Northridge,18111 Nordhoff St,Northridge,CA,91330,US,Non-Networked,J1772,
46,California State University - Northridge,18111 Nordhoff St,Northridge,CA,91330,US,Non-Networked,J1772,
47,California State University - Northridge,18111 Nordhoff St,Northridge,CA,91330,US,Non-Networked,J1772,
48,Northridge Metrolink Station,8775 Wilbur Ave,Northridge,CA,91324,US,EV Connect,J1772,
49,Los Angeles Harbor Department Headquarters,425 S Palos Verdes St,San Pedro,CA,90731,US,Non-Networked,J1772,
50,City of Los Angeles - Constituent Service Center,8475 S Vermont Ave,Los Angeles,CA,90044,US,Non-Networked,J1772,
51,Sylmar Metrolink Station,Village Way Dr,San Fernando,CA,91342,US,EV Connect,J1772,
52,Getty Center,1200 Getty Center Dr,Los Angeles,CA,90049,US,Non-Networked,J1772 NEMA520,
53,Los Angeles County - Arboretum,301 N Baldwin Ave,Arcadia,CA,91007,US,Non-Networked,J1772,
54,City of Glendora - City Hall,114 S Vista Bonita Ave,Glendora,CA,91741,US,Non-Networked,J1772,
55,Helms Bakery Building,8800 Venice Blvd,Los Angeles,CA,90034,US,Non-Networked,J1772,
56,Westfield MainPlace Mall,2800 N Main St,Santa Ana,CA,92705,US,Non-Networked,J1772,
57,CITY OF SB EV2,1115 Anacapa St,Santa Barbara,CA,93101,US,ChargePoint Network,J1772 NEMA520,
58,California State University - Channel Islands,1 University Dr,Camarillo,CA,93012,US,Non-Networked,J1772,
59,Brea Downtown Parking,101 S Brea Blvd,Brea,CA,92821,US,Non-Networked,J1772,
60,Home Depot,2745 Teller Rd,Newbury Park,CA,91320,US,Non-Networked,J1772 NEMA515,
61,Lake Casitas Municipal Water District - Recreational Area,Casitas Pass Rd & Baldwin Rd,Oak View,CA,93022,US,Non-Networked,J1772,
62,San Dimas Park & Ride,205 S San Dimas Ave,San Dimas,CA,91773,US,Non-Networked,J1772,
63,Loews Santa Monica Beach Hotel,1700 Ocean Ave,Santa Monica,CA,90401,US,Non-Networked,J1772,
64,City of Pasadena - El Molino Lot,100 N El Molino Ave,Pasadena,CA,91101,US,Non-Networked,J1772,
65,Ventura County Government Center,800 S Victoria Ave,Ventura,CA,93009,US,Non-Networked,J1772,
66,Ventura County Air Pollution Control District,669 County Square Dr,Ventura,CA,93003,US,Non-Networked,J1772,
67,Pacific View Mall,3295 E Main St,Ventura,CA,93003,US,Non-Networked,J1772,
68,University of California - Davis Extension,1441 Research Park Dr,Davis,CA,95616,US,Non-Networked,J1772 NEMA520,
69,San Luis Obispo County Air Pollution Control District,3433 Roberto Ct,San Luis Obispo,CA,93401,US,Non-Networked,J1772 NEMA520,
70,Soquel & Front Garage,601 Front St,Santa Cruz,CA,95061,US,Non-Networked,J1772,
71,Fair Oaks - Orangevale - Community Library,11601 Fair Oaks Blvd,Fair Oaks,CA,95628,US,Non-Networked,J1772,
72,City of Sacramento - City Hall Public Parking Garage,10th St & I St,Sacramento,CA,95814,US,Non-Networked,J1772 NEMA1450,
73,Sutter Galleria Mall - University of California - Davis Extension,2901 K St,Sacramento,CA,95816,US,Non-Networked,J1772 NEMA520,
74,North Highlands Library,4235 Antelope Rd,Antelope,CA,95843,US,Non-Networked,J1772,
75,University of California - Davis - Medical Center,4860 Y St,Sacramento,CA,95817,US,Non-Networked,J1772,
76,Belle Cooledge Library,5600 S Land Park Dr,Sacramento,CA,95822,US,Non-Networked,J1772,
77,Mosquito Road Park and Ride,Mosquito Rd & Clay St,Placerville,CA,95667,US,Non-Networked,J1772,
78,City of Vacaville - Cultural Center,1000 Ulatis Dr,Vacaville,CA,95687,US,Non-Networked,J1772,
79,Stars Recreation Center,155 Browns Valley Pkwy,Vacaville,CA,95688,US,Non-Networked,J1772,
80,City of Vacaville - Regional Transport Center,190 Hickory Ln,Vacaville,CA,95688,US,Non-Networked,J1772 TESLA,
81,Office of Housing & Redevelopment,40 Eldridge Ave,Vacaville,CA,95688,US,Non-Networked,J1772,
82,KUIC Radio - Parking Lot,500 Catherine St,Vacaville,CA,95688,US,Non-Networked,J1772,
83,Citrus Heights City Hall,6360 Fountain Square Dr,Citrus Heights,CA,95621,US,Non-Networked,J1772,
84,Pitt School Plaza,1440 Ary Ln,Dixon,CA,95620,US,Non-Networked,NEMA520,
85,El Dorado County Government Center,2850 Fairlane Ct,Placerville,CA,95667,US,Non-Networked,J1772,
86,El Dorado Transit Park & Ride,4640 Post St,El Dorado Hills,CA,95762,US,Non-Networked,J1772,
87,CVS Pharmacy,8455 Auburn-Folsom Rd,Granite Bay,CA,95746,US,Non-Networked,J1772,
88,Carmichael Library,5605 Marconi Ave,Carmichael,CA,95608,US,Non-Networked,J1772,
89,Burlington International Airport,1200 Airport Dr,South Burlington,VT,5403,US,Non-Networked,NEMA520,
90,Rio Vista City Hall,1 Main St,Rio Vista,CA,94571,US,Non-Networked,J1772,
91,Fairfield City Hall,1000 Webster St,Fairfield,CA,94533,US,Non-Networked,J1772,
92,Solano Community College,4000 Suisun Valley Rd,Fairfield,CA,94534,US,Non-Networked,J1772,
93,Vallejo Ferry Terminal,495 Mare Island Way,Vallejo,CA,94590,US,Non-Networked,,
94,Los Angeles International Airport (LAX) - Lot 1,1 World Way,Los Angeles,CA,90045,US,Non-Networked,J1772,
95,SAN JOSE,44 S 4th St,San Jose,CA,95112,US,ChargePoint Network,J1772,
96,City of Lacey - City Hall Parking,420 College St,Lacey,WA,98503,US,Non-Networked,NEMA520,
97,City of Lake Oswego,209 A Ave,Lake Oswego,OR,97034,US,Non-Networked,J1772,
98,Oregon Museum of Science and Industry (OMSI) - South Parking Lot,1945 SE Water Ave,Portland,OR,97214,US,Non-Networked,J1772 NEMA515,SOLAR
99,City of Ukiah - Public Parking Lot,N Oak St & W Standley St,Ukiah,CA,95482,US,Non-Networked,J1772,
100,Nut Tree Village,1651 E Monte Vista Ave,Vacaville,CA,95688,US,Non-Networked,J1772 NEMA515,
101,Placer County Community Development Resource Center,3091 County Center Dr,Auburn,CA,95603,US,Non-Networked,J1772,
102,4th and G Plaza Public Parking Garage,4th St & G St,Davis,CA,95616,US,Non-Networked,J1772,
103,Davis Amtrak Station,840 2nd St,Davis,CA,95616,US,Non-Networked,J1772,
104,University of California - Davis,6 Howard Way,Davis,CA,95616,US,Non-Networked,J1772 NEMA520,
105,University Covenant Church,315 Mace Blvd,Davis,CA,95618,US,Non-Networked,J1772,
106,Wildhorse Golf Club,2323 Rockwell Dr,Davis,CA,95618,US,Non-Networked,J1772,
107,Ciudad del Rey Motel & Trailer Park,50557 Wild Horse Rd,King City,CA,93930,US,Non-Networked,,
108,Lakewood Center Mall,4500 Silva St,Lakewood,CA,90712,US,Non-Networked,J1772,
109,Golden Gate Ferry Terminal,101 E Sir Francis Drake Blvd,Larkspur,CA,94939,US,Non-Networked,J1772,
110,Oakland International Airport - Daily Lot,1 Airport Dr,Oakland,CA,94621,US,Non-Networked,J1772,
111,CCSF SFMTA,733 Kearny St,San Francisco,CA,94108,US,ChargePoint Network,J1772,
112,Seattle-Tacoma International Airport - General Parking,17801 Pacific Hwy S,Seattle,WA,98188,US,Non-Networked,NEMA520,
113,SAN JOSE,200 E Santa Clara St,San Jose,CA,95113,US,ChargePoint Network,J1772,
114,City of Champaign - Hill Street Parking Deck,123 W Hill St,Champaign,IL,61820,US,Non-Networked,J1772,
